scheduleid,routeid,scheduleday,scheduletime,
1312,34,1,1080,
1313,34,1,1170,
1314,34,1,1215,
1315,34,1,1260,
1316,34,1,1305,
1317,34,1,1350,
1318,34,1,1395,
1319,34,2,435,
1320,34,2,480,
1321,34,2,525,
1322,34,2,570,
1323,34,2,615,
1324,34,2,660,
1325,34,2,705,
1326,34,2,810,
1327,34,2,855,
1328,34,2,900,
1329,34,2,945,
1330,34,2,990,
1331,34,2,1035,
1332,34,2,1080,
1333,34,2,1170,
1334,34,2,1215,
1335,34,2,1260,
1336,34,2,1305,
1337,34,2,1350,
1338,34,2,1395,
1339,35,0,676,
1340,35,0,721,
1341,35,0,766,
1342,35,0,811,
1343,35,0,856,
1344,35,0,901,
1345,35,0,946,
1346,35,0,1111,
1347,35,0,1156,
1348,35,0,1201,
1349,35,0,1246,
1350,35,0,1291,
1351,35,0,1336,
1352,35,0,1381,
1353,35,1,436,
1354,35,1,481,
1355,35,1,526,
1356,35,1,571,
1357,35,1,616,
1358,35,1,661,
1359,35,1,706,
1360,35,1,811,
1361,35,1,856,
1362,35,1,901,
1363,35,1,946,
1364,35,1,991,
1365,35,1,1036,
1366,35,1,1081,
1367,35,1,1171,
1368,35,1,1216,
1369,35,1,1261,
1370,35,1,1306,
1371,35,1,1351,
1372,35,1,1396,
1373,35,2,436,
1374,35,2,481,
1375,35,2,526,
1376,35,2,571,
1377,35,2,616,
1378,35,2,661,
1379,35,2,706,
1380,35,2,811,
1381,35,2,856,
1382,35,2,901,
1383,35,2,946,
1384,35,2,991,
1385,35,2,1036,
1386,35,2,1081,
1387,35,2,1171,
1388,35,2,1216,
1389,35,2,1261,
1390,35,2,1306,
1391,35,2,1351,
1392,35,2,1396,
1393,36,0,677,
1394,36,0,722,
1395,36,0,767,
1396,36,0,812,
1397,36,0,857,
1398,36,0,902,
1399,36,0,947,
1400,36,0,1112,
1401,36,0,1157,
1402,36,0,1202,
1403,36,0,1247,
1404,36,0,1292,
1405,36,0,1337,
1406,36,0,1382,
1407,36,1,437,
1408,36,1,482,
1409,36,1,527,
1410,36,1,572,
1411,36,1,617,
1412,36,1,662,
1413,36,1,707,
1414,36,1,812,
1415,36,1,857,
1416,36,1,902,
1417,36,1,947,
1418,36,1,992,
1419,36,1,1037,
1420,36,1,1082,
1421,36,1,1172,
1422,36,1,1217,
1423,36,1,1262,
1424,36,1,1307,
1425,36,1,1352,
1426,36,1,1397,
1427,36,2,437,
1428,36,2,482,
1429,36,2,527,
1430,36,2,572,
1431,36,2,617,
1432,36,2,662,
1433,36,2,707,
1434,36,2,812,
1435,36,2,857,
1436,36,2,902,
1437,36,2,947,
1438,36,2,992,
